Status,Severity,CWE,Description,Tool Category,Tool Name,Rule Name,
false-positive,info,,'c' is already defined.,,JSHint,Function already defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Not defined,
false-positive,info,,'b' is already defined.,,JSHint,Function already defined,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Not defined,
escalated,info,,,,,Not defined,
escalated,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,A leading decimal point can be confused with a dot,
false-positive,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,A leading decimal point can be confused with a dot,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,low,398,'a' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,low,398,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,Disallow use of objectprototypes builtins directly,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,Variable Assigned to Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
false-positive,info,,,,,Function already defined,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,'c' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,high,310,,,,Cryptographic Issue,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,medium,665,,,,Initialization,
escalated,info,,,,,Not defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,Disallow use of objectprototypes builtins directly,
false-positive,info,,'a' is already defined.,,JSHint,Function already defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,'escape' is not defined.,,JSHint,Not defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,low,398,'b' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,'b' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,info,,,,,Not defined,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,'unescape' is not defined.,,JSHint,Not defined,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,A leading decimal point can be confused with a dot,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,398,The for-in loop variable 'b' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,For-in loop variable not explicitly scoped,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,,,,Disallow use of objectprototypes builtins directly,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
false-positive,info,,'d' used out of scope.,,JSHint,Use out of scope,
escalated,low,398,Empty block statement.,,ESLint,Disallow empty block statements,
escalated,info,398,The for-in loop variable 'c' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,For-in loop variable not explicitly scoped,
false-positive,info,,'d' is already defined.,,JSHint,Function already defined,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,,,,Missing '()' invoking constructor,
escalated,low,398,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,Disallow use of objectprototypes builtins directly,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,'b' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,561,,,,Dead Code,
escalated,medium,398,Read-only global 'console' should not be modified.,,ESLint,Disallow assignment to native objects or read-only global variables,
escalated,low,398,'h' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,'a' is already defined.,,ESLint,Disallow variable redeclaration,
false-positive,info,,'h' is already defined.,,JSHint,Function already defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
false-positive,info,,'b' is already defined.,,JSHint,Function already defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,398,'d' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Label 'a' on try statement.,,JSHint,Label on statement,
false-positive,info,,'h' is already defined.,,JSHint,Function already defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,Function Call Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,Possible strict violation,
escalated,high,79,,,,Cross-site Scripting (XSS),
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,77,Function Call Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,79,Unencoded input 'comma' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,low,704,Redundant Boolean call.,,ESLint,Disallow unnecessary boolean casts,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,79,,,,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,77,,,,Command Injection,
escalated,high,79,Unencoded input 'sym[1]' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,79,,,,Cross-site Scripting (XSS),
escalated,high,79,Non-HTML variable 'str' is used to store raw HTML,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,low,398,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,Disallow use of objectprototypes builtins directly,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,79,Unencoded input 'sym[0]' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,high,,The function addEventListener can be unsafe,scanjs-rules,ESLint,Call addEventListener,
escalated,high,,The function addEventListener can be unsafe,scanjs-rules,ESLint,Call addEventListener,
escalated,high,79,Non-HTML variable 'str' is used to store raw HTML,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,,The function addEventListener can be unsafe,scanjs-rules,ESLint,Call addEventListener,
escalated,high,79,Non-HTML variable 'str' is used to store raw HTML,xss,ESLint,Cross-site Scripting (XSS),
escalated,high,79,Unencoded input 'label' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,high,79,Unencoded input 'label' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,high,79,Unencoded input 'self.type' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,high,79,Unencoded input 'val' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,high,79,Unencoded input 'self.type' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,Bad escaping of EOL,
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'node' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'jsonTree' is assigned a value but never used.,,ESLint,Dead Code,
escalated,high,79,Unencoded input 'str' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'path' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,561,'backendResponse' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'_' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'fs' is assigned a value but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'backendResponse' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'req' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'initialize' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'exports' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,high,,The function setTimeout can be unsafe,scanjs-rules,ESLint,Call setTimeout,
escalated,medium,665,'UpdaterPromise' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,high,77,,,,Command Injection,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,medium,665,'UpdaterPromise' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,info,,Consider using ternary (lambda x: x if sys.version_info[0] &lt, 3 else lambda x: x.encode('latin1')),,PYLINT-R1706,Consider using ternary
false-positive,info,,"Import ""from google.protobuf import reflection as _reflection"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import symbol_database as _symbol_database"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import message as _message"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import descriptor as _descriptor"" should be placed at the top of the module",,Pylint,Wrong Import Position,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'axlsign' is not defined.,,ESLint,Initialization,
escalated,medium,665,'QRCode' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,561,'AESEncrypt' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,,,,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,561,'e' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'QRCode' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'axlsign' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'exports' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
escalated,info,398,,,,Unused import,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,low,,Too many boolean expressions in if statement (6/5),,Pylint,Too many boolean expressions,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,low,665,Undefined variable 'e',,Pylint,Initialization,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,low,,Value 'str' is unsubscriptable,,Pylint,Unscriptable Object,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,99,Redefining built-in 'bytes',,Pylint,Resource Injection,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Import ""import time"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import uuid"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import base64"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from utilities import *"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import json"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from SimpleWebSocketServer import SimpleWebSocketServer, WebSocket"" should be placed at the top of the module",,Pylint,Wrong Import Position,
escalated,low,665,Undefined variable 'whatsapp',,Pylint,Initialization,
escalated,info,398,Unused import time,,Pylint,Unused import,
escalated,low,665,Undefined variable 'reload',,Pylint,Initialization,
false-positive,info,,"Import ""import traceback"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import os"" should be placed at the top of the module",,Pylint,Wrong Import Position,
